PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467232,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467233,12/20/19,1/12/20,313924,4/11/20 8:00,4/14/20 8:00
22467234,12/20/19,1/12/20,313925,4/11/20 8:00,4/14/20 8:00
22467235,12/20/19,1/12/20,313926,4/11/20 8:00,4/14/20 8:00
22467236,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467237,12/20/19,1/12/20,313919,4/11/20 8:00,4/14/20 8:00
22467239,12/20/19,1/12/20,313920,4/11/20 8:00,4/14/20 8:00
22467240,12/20/19,1/12/20,320069,4/11/20 8:00,4/14/20 8:00
22467242,12/20/19,1/12/20,313921,4/11/20 8:00,4/14/20 8:00
22467244,12/20/19,1/12/20,313922,4/11/20 8:00,4/14/20 8:00
22467246,12/20/19,1/12/20,313923,4/11/20 8:00,4/14/20 8:00
22467248,12/20/19,1/12/20,318901,4/11/20 8:00,4/14/20 8:00
22467251,12/20/19,1/12/20,315587,4/11/20 8:00,4/14/20 8:00
22467253,12/20/19,1/12/20,313918,4/11/20 8:00,4/14/20 8:00
22467255,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467284,12/20/19,1/12/20,314398,4/11/20 8:00,4/14/20 8:00
22467285,12/20/19,1/12/20,313668,4/11/20 8:00,4/14/20 8:00
22467286,12/20/19,1/12/20,314511,4/11/20 8:00,4/14/20 8:00
22467287,12/20/19,1/12/20,313667,4/11/20 8:00,4/14/20 8:00
22467289,12/20/19,1/12/20,314512,4/11/20 8:00,4/14/20 8:00
22467291,12/20/19,1/12/20,314248,4/11/20 8:00,4/14/20 8:00
22467293,12/20/19,1/12/20,314252,4/11/20 8:00,4/14/20 8:00
22467295,12/20/19,1/12/20,314253,4/11/20 8:00,4/14/20 8:00
22467297,12/20/19,1/12/20,314255,4/11/20 8:00,4/14/20 8:00
22467299,12/20/19,1/12/20,313677,4/11/20 8:00,4/14/20 8:00
22467301,12/20/19,1/12/20,314247,4/11/20 8:00,4/14/20 8:00
22467303,12/20/19,1/12/20,313679,4/11/20 8:00,4/14/20 8:00
22467305,12/20/19,1/12/20,313678,4/11/20 8:00,4/14/20 8:00
22467307,12/20/19,1/12/20,314338,4/11/20 8:00,4/14/20 8:00
22467309,12/20/19,1/12/20,314339,4/11/20 8:00,4/14/20 8:00
22467310,12/20/19,1/12/20,314298,4/11/20 8:00,4/14/20 8:00
22467311,12/20/19,1/12/20,314299,4/11/20 8:00,4/14/20 8:00
22467313,12/20/19,1/12/20,314301,4/11/20 8:00,4/14/20 8:00
22467314,12/20/19,1/12/20,314340,4/11/20 8:00,4/14/20 8:00
22467315,12/20/19,1/12/20,314341,4/11/20 8:00,4/14/20 8:00
22467316,12/20/19,1/12/20,314313,4/11/20 8:00,4/14/20 8:00
22467317,12/20/19,1/12/20,314310,4/11/20 8:00,4/14/20 8:00
