event_id,start_date,end_date,
315726,3/19/20 8:00,3/22/20 8:00,
315811,3/19/20 8:00,3/22/20 8:00,
315725,3/19/20 8:00,3/22/20 8:00,
315724,3/19/20 8:00,3/22/20 8:00,
315818,3/19/20 8:00,3/22/20 8:00,
315815,3/19/20 8:00,3/22/20 8:00,
315817,3/19/20 8:00,3/22/20 8:00,
315814,3/19/20 8:00,3/22/20 8:00,
315847,3/19/20 8:00,3/22/20 8:00,
315859,3/19/20 8:00,3/22/20 8:00,
315866,3/19/20 8:00,3/22/20 8:00,
315849,3/19/20 8:00,3/22/20 8:00,
315863,3/19/20 8:00,3/22/20 8:00,
315850,3/19/20 8:00,3/22/20 8:00,
315844,3/19/20 8:00,3/22/20 8:00,
315841,3/19/20 8:00,3/22/20 8:00,
315868,3/19/20 8:00,3/22/20 8:00,
315852,3/19/20 8:00,3/22/20 8:00,
315865,3/19/20 8:00,3/22/20 8:00,
315860,3/19/20 8:00,3/22/20 8:00,
315853,3/19/20 8:00,3/22/20 8:00,
315856,3/19/20 8:00,3/22/20 8:00,
315822,3/19/20 8:00,3/22/20 8:00,
315823,3/19/20 8:00,3/22/20 8:00,
315824,3/19/20 8:00,3/22/20 8:00,
315827,3/19/20 8:00,3/22/20 8:00,
315828,3/19/20 8:00,3/22/20 8:00,
315830,3/19/20 8:00,3/22/20 8:00,
315832,3/19/20 8:00,3/22/20 8:00,
315834,3/19/20 8:00,3/22/20 8:00,
315836,3/19/20 8:00,3/22/20 8:00,
315839,3/19/20 8:00,3/22/20 8:00,
315843,3/19/20 8:00,3/22/20 8:00,
315846,3/19/20 8:00,3/22/20 8:00,
314122,3/19/20 8:00,3/22/20 8:00,
314123,3/19/20 8:00,3/22/20 8:00,
315640,3/19/20 8:00,3/22/20 8:00,
314124,3/19/20 8:00,3/22/20 8:00,
314125,3/19/20 8:00,3/22/20 8:00,
315641,3/19/20 8:00,3/22/20 8:00,
315643,3/19/20 8:00,3/22/20 8:00,
315644,3/19/20 8:00,3/22/20 8:00,
314126,3/19/20 8:00,3/22/20 8:00,
314127,3/19/20 8:00,3/22/20 8:00,
314128,3/19/20 8:00,3/22/20 8:00,
314129,3/19/20 8:00,3/22/20 8:00,
314130,3/19/20 8:00,3/22/20 8:00,
315646,3/19/20 8:00,3/22/20 8:00,
315648,3/19/20 8:00,3/22/20 8:00,
314131,3/19/20 8:00,3/22/20 8:00,
314132,3/19/20 8:00,3/22/20 8:00,
315612,3/19/20 8:00,3/22/20 8:00,
315615,3/19/20 8:00,3/22/20 8:00,
315618,3/19/20 8:00,3/22/20 8:00,
315621,3/19/20 8:00,3/22/20 8:00,
315623,3/19/20 8:00,3/22/20 8:00,
315627,3/19/20 8:00,3/22/20 8:00,
315628,3/19/20 8:00,3/22/20 8:00,
315630,3/19/20 8:00,3/22/20 8:00,
315632,3/19/20 8:00,3/22/20 8:00,
315633,3/19/20 8:00,3/22/20 8:00,
315634,3/19/20 8:00,3/22/20 8:00,
315635,3/19/20 8:00,3/22/20 8:00,
315637,3/19/20 8:00,3/22/20 8:00,
315638,3/19/20 8:00,3/22/20 8:00,
314136,3/19/20 8:00,3/22/20 8:00,
314137,3/19/20 8:00,3/22/20 8:00,
315810,3/19/20 8:00,3/22/20 8:00,
315812,3/19/20 8:00,3/22/20 8:00,
314139,3/19/20 8:00,3/22/20 8:00,
315813,3/19/20 8:00,3/22/20 8:00,
